f1,match_rate,recall,precision,!f1,filter_rate,!recall,fpr,threshold,!precision,accuracy
0.985,1.0,1.0,0.971,0.006,0.0,0.003,0.997,0.01174,1.0,0.971
0.985,1.0,1.0,0.971,0.006,0.0,0.003,0.997,0.01175,1.0,0.971
0.985,1.0,1.0,0.971,0.006,0.0,0.003,0.997,0.01176,1.0,0.971
0.985,1.0,1.0,0.971,0.006,0.0,0.003,0.997,0.01177,1.0,0.971
0.985,1.0,1.0,0.971,0.006,0.0,0.003,0.997,0.01181,1.0,0.971
0.985,1.0,1.0,0.971,0.006,0.0,0.003,0.997,0.01182,1.0,0.971
0.985,1.0,1.0,0.971,0.006,0.0,0.003,0.997,0.01183,1.0,0.971
0.985,1.0,1.0,0.971,0.006,0.0,0.003,0.997,0.01185,1.0,0.971
0.985,1.0,1.0,0.971,0.006,0.0,0.003,0.997,0.01187,1.0,0.971
0.985,1.0,1.0,0.971,0.006,0.0,0.003,0.997,0.01189,1.0,0.971
0.985,1.0,1.0,0.971,0.006,0.0,0.003,0.997,0.01191,1.0,0.971
0.985,1.0,1.0,0.971,0.006,0.0,0.003,0.997,0.01193,1.0,0.971
0.985,1.0,1.0,0.971,0.007,0.0,0.003,0.997,0.01195,1.0,0.971
0.985,1.0,1.0,0.971,0.007,0.0,0.003,0.997,0.01198,1.0,0.971
0.985,1.0,1.0,0.971,0.007,0.0,0.003,0.997,0.012,1.0,0.971
0.985,1.0,1.0,0.971,0.007,0.0,0.003,0.997,0.01204,1.0,0.971
0.985,1.0,1.0,0.971,0.007,0.0,0.003,0.997,0.01206,1.0,0.971
0.985,1.0,1.0,0.971,0.007,0.0,0.003,0.997,0.01208,1.0,0.971
0.985,1.0,1.0,0.971,0.007,0.0,0.004,0.996,0.0121,1.0,0.971
0.985,1.0,1.0,0.971,0.007,0.0,0.004,0.996,0.01213,1.0,0.971
0.985,1.0,1.0,0.971,0.007,0.0,0.004,0.996,0.01214,1.0,0.971
0.985,1.0,1.0,0.971,0.007,0.0,0.004,0.996,0.01219,1.0,0.971
0.985,1.0,1.0,0.971,0.007,0.0,0.004,0.996,0.01222,1.0,0.971
0.985,1.0,1.0,0.971,0.008,0.0,0.004,0.996,0.01223,1.0,0.971
0.985,1.0,1.0,0.971,0.008,0.0,0.004,0.996,0.01225,1.0,0.971
0.985,1.0,1.0,0.971,0.008,0.0,0.004,0.996,0.0123,1.0,0.971
0.985,1.0,1.0,0.971,0.008,0.0,0.004,0.996,0.01231,1.0,0.971
0.985,1.0,1.0,0.971,0.008,0.0,0.004,0.996,0.01234,1.0,0.971
0.985,1.0,1.0,0.971,0.008,0.0,0.004,0.996,0.01237,1.0,0.971
0.985,1.0,1.0,0.971,0.008,0.0,0.004,0.996,0.01241,1.0,0.971
0.985,1.0,1.0,0.971,0.008,0.0,0.004,0.996,0.01243,1.0,0.971
0.985,1.0,1.0,0.971,0.008,0.0,0.004,0.996,0.01244,1.0,0.971
0.985,1.0,1.0,0.971,0.008,0.0,0.004,0.996,0.01247,1.0,0.971
0.985,1.0,1.0,0.971,0.008,0.0,0.004,0.996,0.01249,1.0,0.971
0.985,1.0,1.0,0.971,0.008,0.0,0.004,0.996,0.0125,1.0,0.971
0.985,1.0,1.0,0.971,0.009,0.0,0.004,0.996,0.01251,1.0,0.971
0.985,1.0,1.0,0.971,0.009,0.0,0.004,0.996,0.01252,1.0,0.971
0.985,1.0,1.0,0.971,0.009,0.0,0.004,0.996,0.01253,1.0,0.971
0.985,1.0,1.0,0.971,0.009,0.0,0.004,0.996,0.01256,1.0,0.971
0.985,1.0,1.0,0.971,0.009,0.0,0.005,0.995,0.01261,1.0,0.971
0.985,1.0,1.0,0.971,0.009,0.0,0.005,0.995,0.01264,1.0,0.971
0.985,1.0,1.0,0.971,0.009,0.0,0.005,0.995,0.01266,1.0,0.971
0.985,1.0,1.0,0.971,0.009,0.0,0.005,0.995,0.01267,1.0,0.971
0.985,1.0,1.0,0.971,0.009,0.0,0.005,0.995,0.01269,1.0,0.971
0.985,1.0,1.0,0.971,0.009,0.0,0.005,0.995,0.01273,1.0,0.971
0.985,1.0,1.0,0.971,0.009,0.0,0.005,0.995,0.01274,1.0,0.971
0.985,1.0,1.0,0.971,0.01,0.0,0.005,0.995,0.01275,1.0,0.971
0.985,1.0,1.0,0.971,0.01,0.0,0.005,0.995,0.01276,1.0,0.971
0.985,1.0,1.0,0.971,0.01,0.0,0.005,0.995,0.01278,1.0,0.971
0.985,1.0,1.0,0.971,0.01,0.0,0.005,0.995,0.01279,1.0,0.971
0.985,1.0,1.0,0.971,0.01,0.0,0.005,0.995,0.01283,1.0,0.971
0.985,1.0,1.0,0.971,0.01,0.0,0.005,0.995,0.01284,1.0,0.971
0.985,1.0,1.0,0.971,0.01,0.0,0.005,0.995,0.01286,1.0,0.971
0.985,1.0,1.0,0.971,0.01,0.0,0.005,0.995,0.01288,1.0,0.971
0.985,1.0,1.0,0.971,0.01,0.0,0.005,0.995,0.0129,1.0,0.971
0.985,1.0,1.0,0.971,0.01,0.0,0.005,0.995,0.01293,1.0,0.971
0.985,1.0,1.0,0.971,0.01,0.0,0.005,0.995,0.01296,1.0,0.971
0.985,1.0,1.0,0.971,0.01,0.0,0.005,0.995,0.01297,1.0,0.971
0.985,1.0,1.0,0.971,0.011,0.0,0.005,0.995,0.01306,1.0,0.971
0.985,1.0,1.0,0.971,0.011,0.0,0.005,0.995,0.01314,1.0,0.971
0.985,1.0,1.0,0.971,0.011,0.0,0.005,0.995,0.01316,1.0,0.971
0.985,1.0,1.0,0.971,0.011,0.0,0.005,0.995,0.01317,1.0,0.971
0.985,1.0,1.0,0.971,0.011,0.0,0.005,0.995,0.01318,1.0,0.971
0.985,1.0,1.0,0.971,0.011,0.0,0.006,0.994,0.01319,1.0,0.971
0.985,1.0,1.0,0.971,0.011,0.0,0.006,0.994,0.01323,1.0,0.971
0.985,1.0,1.0,0.971,0.011,0.0,0.006,0.994,0.01325,1.0,0.971
0.985,1.0,1.0,0.971,0.011,0.0,0.006,0.994,0.01326,1.0,0.971
0.985,1.0,1.0,0.971,0.011,0.0,0.006,0.994,0.01327,1.0,0.971
0.985,1.0,1.0,0.971,0.012,0.0,0.006,0.994,0.01328,1.0,0.971
0.985,1.0,1.0,0.971,0.012,0.0,0.006,0.994,0.01333,1.0,0.971
0.985,1.0,1.0,0.971,0.012,0.0,0.006,0.994,0.01336,1.0,0.971
0.985,1.0,1.0,0.971,0.012,0.0,0.006,0.994,0.01338,1.0,0.971
0.985,1.0,1.0,0.971,0.012,0.0,0.006,0.994,0.0134,1.0,0.971
0.985,1.0,1.0,0.971,0.012,0.0,0.006,0.994,0.01345,1.0,0.971
0.985,1.0,1.0,0.971,0.012,0.0,0.006,0.994,0.01347,1.0,0.971
0.985,1.0,1.0,0.971,0.013,0.0,0.006,0.994,0.01348,1.0,0.971
0.985,1.0,1.0,0.971,0.013,0.0,0.006,0.994,0.01349,1.0,0.971
0.985,1.0,1.0,0.971,0.013,0.0,0.006,0.994,0.01351,1.0,0.971
0.985,1.0,1.0,0.971,0.013,0.0,0.006,0.994,0.01352,1.0,0.971
0.985,1.0,1.0,0.971,0.013,0.0,0.007,0.993,0.01354,1.0,0.971
0.985,1.0,1.0,0.971,0.013,0.0,0.007,0.993,0.01357,1.0,0.971
0.985,1.0,1.0,0.971,0.013,0.0,0.007,0.993,0.01358,1.0,0.971
0.985,1.0,1.0,0.971,0.013,0.0,0.007,0.993,0.0136,1.0,0.971
0.985,1.0,1.0,0.971,0.013,0.0,0.007,0.993,0.01361,1.0,0.971
0.985,1.0,1.0,0.971,0.013,0.0,0.007,0.993,0.01366,1.0,0.971
0.985,1.0,1.0,0.971,0.014,0.0,0.007,0.993,0.01367,1.0,0.971
0.985,1.0,1.0,0.971,0.014,0.0,0.007,0.993,0.01372,1.0,0.971
0.985,1.0,1.0,0.971,0.014,0.0,0.007,0.993,0.01374,1.0,0.971
0.985,1.0,1.0,0.971,0.014,0.0,0.007,0.993,0.01378,1.0,0.971
0.985,1.0,1.0,0.971,0.014,0.0,0.007,0.993,0.01384,1.0,0.971
